"key","English","Spanish"
"PAUSE MENU","PAUSE MENU","MENU DE PAUSA"
"Resume","Resume","Resumir"
"Restart","Restart","Reiniciar"
"Switch Control Type (Touch/Keyboard)","Switch Control Type (Touch/Keyboard)","Cambiar Tipo de Control"
"Touch Options","Touch Options","Opciones Tactiles"
"Edit Input Controls","Edit Input Controls","Editar Controles"
"Exit To Home","Exit To Home","Salir Menu Principal"
"Exit To Desktop","Exit To Desktop","Salir Del Juego"
"Photo Mode","Photo Mode","Modo Foto"
"Toggle Console Debug (Off)","Toggle Console Debug (Off)","Cambiar Debug Consola (Off)"
"Toggle Console Debug (On)","Toggle Console Debug (On)","Cambiar Debug Consola (On)"
"Stop Game (Debug)","Stop Game (Debug)","Detener Juego (Debug)"
"Yes","Yes","Si"
"PLAYER OPTIONS MENU","PLAYER OPTIONS MENU","MENU DE OPCIONES"
"Movement Direction","Movement Direction","Direccion De Movimiento"
"Camera Direction","Camera Direction","Direccion De Camara"
"Reverse Vertical Movement","Reverse Vertical Movement","Movimiento Vertical Inverso"
"Reverse Horizontal Movement","Reverse Horizontal Movement","Movimiento Horizontal Inverso"
"Reverse Horizontal Camera","Reverse Horizontal Camera","Camara Horizontal Inversa"
"Reverse Vertical Camera","Reverse Vertical Camera","Camara Vertical Inversa"
"LEFT GAMEPAD JOYSTICK SENSITIVITY","LEFT GAMEPAD JOYSTICK SENSITIVITY","SENSIBILIDAD JOYSTICK IZQUIERDO"
"RIGHT GAMEPAD JOYSTICK SENSITIVITY","RIGHT GAMEPAD JOYSTICK SENSITIVITY","SENSIBILIDAD JOYSTICK DERECHO"
"Set Default","Set Default","Por Defecto"
"Back","Back","Volver"
"MOUSE SENSITIVITY","MOUSE SENSITIVITY","SENSIBILIDAD RATON"
"GAME VOLUME","GAME VOLUME","VOLUMEN DEL JUEGO"
"LANGUAGE","LANGUAGE","IDIOMA"
"Show Ingame Controls","Show Ingame Controls","Mostrar Controles Juego"
"Next","Next","Siguiente"
"Close","Close","Cerrar"
"Return","Return","Volver"
"Cancel Objective","Cancel Objective","Cancelar Mision"
"Active Objective","Active Objective","Activar Mision"
"OBJECTIVE LOG","OBJECTIVE LOG","DIARIO"
"Settings","Settings","Configuracion"
"New Game","New Game","Nuevo Juego"
"Load","Load","Cargar"
"Exit","Exit","Salir"
"Single Player Demos","Single Player Demos","Demos Modo Campaña"
"Scene Manager Demos","Scene Manager Demos","Demos Manager Escenas"
"Local Multiplayer Demos","Local Multiplayer Demos","Demos Modo Multijugador Local"
"Customize Character","Customize Character","Personalizar Jugador"
"Character Customization","Character Customization","Personalizacion Jugador"
"Class","Class","Clase"
"Face","Face","Cara"
"Face Features","Face Features","Rasgos Faciales"
"Save","Save","Guardar"
"Basic","Basic","Basico"
"TOUCH OPTIONS MENU","TOUCH OPTIONS MENU","CONTROLES TACTILES"
"Set Default Buttons Positions","Set Default Buttons Positions","Posicion Botones Por Defecto"
"Edit Buttons Position","Edit Buttons Position","Editar Posicion Botones"
"Use Accelerometer","Use Accelerometer","Usar Acelerometro"
